awayW,total_first_round_won,total_semis_won,total_wins,total_losses,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostftMade,post_wins,W,L,playoff,year
8.0,1.0,0.0,0.0,0.0,15.166666666666666,657.5,41.16666666666666,83.66666666666667,124.83333333333331,45.16666666666666,20.166666666666668,13.5,33.5,65.5,52.33333333333333,38.83333333333333,0.0,0.0,0.0,0,8
2.5,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,8
6.0,0.0,0.0,0.0,0.0,0.5,118.5,7.0,12.5,19.5,7.5,1.0,0.5,5.0,11.0,6.0,4.0,0.0,0.0,2.0,1,8
6.5,0.0,0.0,0.0,0.0,2.5,171.5,6.5,9.0,15.5,15.5,6.5,2.5,8.5,18.0,9.0,6.0,0.0,0.0,0.0,1,8
8.5,2.0,2.0,5.5,1.0,42.5,1545.0,82.5,172.5,255.0,126.0,56.0,16.5,90.0,131.5,146.0,104.5,0.0,13.0,4.0,1,8
4.5,0.0,0.0,0.0,0.0,8.0,214.0,7.5,20.5,28.0,8.0,3.5,7.5,17.0,26.0,7.5,6.5,0.0,0.0,0.0,1,8
7.5,0.0,0.0,0.0,1.0,15.0,518.6666666666666,16.5,52.5,69.0,41.0,16.0,9.0,32.0,48.5,56.66666666666666,48.5,1.0,2.0,4.0,1,8
5.5,0.0,0.0,0.0,0.0,6.5,255.0,16.5,30.5,47.0,22.5,10.0,2.0,16.5,28.0,24.5,15.0,0.0,0.0,0.0,0,8
5.0,0.0,0.0,0.0,0.0,1.6666666666666663,66.33333333333333,4.333333333333333,5.166666666666667,9.5,4.5,0.5,0.0,5.166666666666667,4.666666666666666,7.333333333333333,4.833333333333334,0.0,0.0,0.0,0,9
11.0,1.0,0.0,1.0,1.0,7.5,538.5,18.0,60.0,78.0,47.0,12.5,5.5,41.5,48.5,49.5,35.5,2.0,4.0,4.0,1,9
10.5,2.0,2.0,5.5,1.0,36.5,1670.3333333333333,111.66666666666669,239.0,350.6666666666667,130.5,47.66666666666666,31.5,117.16666666666669,182.66666666666663,183.33333333333331,130.83333333333334,6.5,13.0,8.0,1,9
6.0,0.0,0.0,0.0,0.0,4.5,337.0,16.5,32.5,49.0,31.5,11.5,5.0,22.0,39.5,34.0,27.0,0.0,0.0,0.0,0,9
9.0,1.0,0.0,1.0,0.5,16.0,591.0,24.0,73.5,97.5,46.5,25.5,12.0,40.5,53.0,53.0,39.0,0.0,3.0,5.0,1,9
7.5,1.0,0.0,2.0,0.0,15.5,602.0,39.5,84.0,123.5,38.5,25.5,23.5,39.5,65.0,62.5,49.5,0.0,2.0,3.0,1,9
2.5,0.0,0.0,0.0,0.0,4.0,149.5,4.0,12.5,16.5,5.5,5.0,1.0,4.5,11.0,10.0,10.0,0.0,0.0,0.0,0,9
5.0,0.0,0.0,0.0,1.0,7.5,351.5,14.5,49.833333333333336,64.33333333333333,27.83333333333333,12.833333333333334,4.5,23.5,29.666666666666668,30.666666666666668,22.33333333333333,0.5,1.0,2.0,1,9
9.5,1.0,1.0,0.0,0.0,18.0,703.0,35.0,83.5,118.5,67.0,25.0,13.5,38.0,58.5,73.5,61.0,0.0,0.0,0.0,0,9
7.0,1.0,1.0,2.0,1.5,24.0,792.5,43.0,84.0,127.0,64.0,34.0,12.5,50.0,69.0,73.0,51.5,1.0,7.0,5.0,1,9
9.0,1.0,0.0,2.0,0.0,17.5,510.5,27.5,54.0,81.5,46.5,15.0,15.5,35.0,49.0,31.0,24.5,1.0,2.0,3.0,1,9
7.0,0.0,0.0,0.0,0.5,23.166666666666668,780.0,49.833333333333336,96.5,146.33333333333334,58.5,19.666666666666668,20.666666666666668,51.0,67.83333333333333,95.16666666666669,70.5,0.0,1.0,4.0,1,9
6.5,0.0,0.0,0.0,0.0,4.5,167.0,13.5,27.0,40.5,8.0,7.0,3.0,10.5,18.0,20.5,12.0,0.0,0.0,0.0,0,9
3.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,3.5,3.5,4.0,1.0,0.5,3.0,5.5,4.0,2.0,0.0,0.0,0.0,1,10
6.0,0.0,0.0,0.0,0.0,1.5,92.0,1.5,6.5,8.0,7.5,2.0,0.0,5.0,2.5,6.5,5.5,0.0,0.0,0.0,0,10
9.0,0.0,0.0,0.0,0.0,13.0,618.6666666666666,28.333333333333336,71.5,99.83333333333331,51.66666666666666,19.0,5.5,45.33333333333333,50.33333333333333,41.833333333333336,33.333333333333336,1.0,0.0,0.0,0,10
10.0,2.0,2.0,5.5,1.0,38.0,1914.1666666666667,110.83333333333331,259.1666666666667,370.0,130.83333333333334,56.5,37.0,123.16666666666669,192.33333333333331,179.33333333333334,137.83333333333334,6.5,13.0,7.0,1,10
7.5,1.0,0.0,1.0,1.0,21.0,739.0,34.0,104.5,138.5,51.0,33.0,17.0,50.0,76.0,87.5,73.0,1.0,4.0,5.0,1,10
6.5,1.0,0.0,2.0,1.0,22.0,763.0,50.5,112.0,162.5,70.0,32.0,32.0,66.5,87.5,79.5,57.0,1.5,3.0,3.0,1,10
5.0,0.0,0.0,0.0,0.0,4.5,148.5,9.5,14.5,24.0,16.0,6.0,0.5,9.0,9.0,16.5,13.5,0.0,0.0,0.0,0,10
7.0,1.0,0.0,0.0,0.0,24.0,948.0,38.0,120.5,158.5,66.0,28.5,15.0,62.0,88.5,64.5,41.5,2.0,0.0,0.0,0,10
8.5,1.0,1.0,7.0,0.0,22.5,897.0,48.0,120.0,168.0,95.5,37.5,23.0,57.5,83.5,128.5,112.5,0.0,7.0,2.0,1,10
6.0,0.0,0.0,0.0,0.0,13.5,517.6666666666666,24.166666666666668,57.333333333333336,81.5,47.833333333333336,23.166666666666668,7.666666666666667,41.5,59.5,49.5,40.0,1.0,0.0,0.0,0,10
10.0,2.0,1.0,3.0,0.0,35.5,1387.0,61.5,147.5,209.0,122.5,42.0,27.5,95.5,113.5,126.0,103.5,3.0,6.0,8.0,1,10
5.5,0.0,0.0,0.0,0.5,13.5,608.5,28.166666666666664,62.83333333333333,91.0,49.66666666666666,20.666666666666668,10.5,44.16666666666667,52.833333333333336,50.5,38.0,1.0,1.0,4.0,1,10
6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1,10
